Название,Категория,Популярность,Длительность,Краткое описание,Полное описание
Девятый вал,Восстанавливающие программы,73%,2 минуты,"
	 Эта программа пропитана духом приключений и опасностей. Бросьте вызов стихии и попробуйте переплыть океан, когда вся его мощь и сила направлена против вас.
","
	 После выбора программы слышны раскаты грома, идёт сильный дождь из верхней лейки и форсунки ""водопад"". Светодиодные лампочки, как самая настоящая молния, сверкает то белым, то синим светом. Периодически включаются форсунки с прохладным туманом. Наконец, спустя 2 минуты, гроза стихает, выключается подача воды, стихают все звуки.
"
Яркий драйв,Восстанавливающие программы,73%,1 минута,"
	Экспрессивная смена воды и света в сопровождении искромётной, техничной музыкальной композиции. Тонизирующий массаж и жгучий напор - отличный заряд бодрости на целый день!
","
	Искромётность - удивит вас своей насыщенностью! Вся верхняя вода короткой подачей обрушится на вас при первых двух аккордах, а дождь между ними не даст вам замёрзнуть. Для настроения будет ооочень вкусно пахнуть, а тонуса добавит холодный туман. Далее начинается сумасшедшая ритмическая перекличка боковых форсунок, которые способны отмассировать даже самое крепкое тело! Чем ближе к концу, тем больше сумасшествия. Холодная и горячая вода будут соревноваться на протяжении всей программы. Подумайте, готовы ли вы к такому душу зимой? Хотя, если вы из бани…
"
Step by step,Восстанавливающие программы,72%,5 минут,"Главная суть процедуры - контрастное и тактильное воздействие на сосуды и ступни ног. Всю программу, под активный ритм музыки, вы будете перемещаться вслед за включающимися форсунками, каждая из которых имеет свою температуру воды - тёплую и холодную. Температура воды в каждой форсунке сопровождается соответствующей подсветкой - красной и синей. Помимо этого программа оснащена аромастанцией, наполнение которой можно выбрать из доступных ароматов в каталоге.","Сначала равномерное поочерёдное включение форсунок, с 1-й линии до 8-й. При работе 5-й форсунки добавляется аромат. После этого, дорожка заставляет пользователя двигаться активнее и хаотичнее: включается 3-я линия форсунок, затем 6-я. Оба цикла длиннее предыдущих в два раза. Далее: 7,2,5,8,3,6-я работают в такт музыке, при этом на 5-й вновь подаётся аромат. Затем 1-я вдвое длинней предыдущих. Далее 4 и 6-я равномерными подачами. С 8-й линии поступенно возвращаемся к 1-й, где на 5-й снова подаётся аромат. Программа завершается."
Мятное утро,Восстанавливающие программы,69%,4 минуты,"Бодрое утро - залог успешного и продуктивного дня! Даже если вы встали не с той ноги, эта программа зарядит вас энергией и свежестью, вернет веру в человечество и придаст сил на весь день..","Звучит приятная музыка, освещение мягко переключается всеми цветами радуги, из верхней лейки начинает литься теплая вода, помогая расслабиться. Спустя полминуты из фосунки ""водопад"" также начинает литься вода, верхняя лейка выключена. По мере нарастания музыки подключаются боковые форсунки с горячей водой, которые мягко массируют тело. Потом они выключаются и в дело снова вступает верхняя лейка, освещение по-прежнему переливается всеми доступными цветами. Через некоторое время все потоки воды стихают и звучит только бодрящая мелодия, горит свет. Затем снова включается верхняя лейка и опять все замирает. Из водопада небольшими порциями льется вода. В конце программы гаснет верхнее цветное освещение, потоки воды стихают."
Бэнг-бэнг,Восстанавливающие программы,87%,3 минуты,"В сопровождении немалоизвестной композиции BANG-BANG (рус. Ба-бах), тёплый душ будет лить на вас кратковременными подачами воды, а бодрящий туман позволит вам насладиться ностальгической атмосферой. Боковые форсунки разбавят скучную статику, олицетворяя выстрелы, тем самым подчёркивая смысл песни. С их энергией вы почувствуете прилив горячей крови к вашей коже.","Сначала три кратковременные подачи верхнего душа, затем одна более продолжительная. После этого прохладный туман. Далее боковые форсунки перекликаются между собой в течение 15-ти секунд. Затем последовательность повторяется, но меняется продолжительность работы каждого блока."
Контрастный душ,Восстанавливающие программы,77%,3 минуты,"
	 Страстный танец горячей и холодной воды для любителей острых ощущений. Разгонит не только вашу кровь, но и все грустные мысли и печали. Отлично сочетается со здоровым образом жизни.
","
	 Включается зеленая подсветка, звучит энергичная музыка, попеременно включаются боковые форсунки. Стучат барабаны и из верхней лейки тоже начинает низвергаться вниз вода. Горячая вода сменяет холодную в боковых форсунках, бодря тело и дух. Затем сверху опять льется контрастная горячая вода. Затем вода стихает, давая легкую передышку, после чего опять из боковых форсунок льется холодная вода. Так продолжается несколько раз. После чего сверху опять льется горячая вода, которая смешивается с холодной из боковых форсунок. Программа заканчивается горячим душем из верхней форсунки, затем гаснет свет, стихают водные потоки.
"
Альпийский ручей,Восстанавливающие программы,76%,3 минуты,"
	 Ритмичные звуки будут заставлять вас делать шаги, а контрастная пульсация форсунок и цитрусовый аромат разбудят кровь. Программа насыщена короткими подачами воды, которые тонизируют тело и помогают настроиться на активный темп.
",Если понравившаяся вам душевая программа несовместима с вашим оборудованием - вы можете самостоятельно ее адаптировать благодаря удобному конструктору программ.
Дорога к мечте,Восстанавливающие программы,73%,2 минуты,"
	 Ритмичные звуки будут заставлять вас делать шаги, а контрастная пульсация форсунок и цитрусовый аромат разбудят кровь. Программа насыщена короткими подачами воды, которые тонизируют тело и помогают настроиться на активный темп.
","
	 Первая станция насыщена водой, которая повторяет пульсацию музыки. Умеренный тёплый дождь чередуется с умеренным холодным, включениями длиной чуть более 1-й секунды. Сопровождается такой дуэт пульсацией тёплых боковых форсунок и световых вспышек белого в каждый бит. На второй станции четыре включения форсунок тумана с ароматом «Суматранский апельсин». Освещение сине-голубое. Третья станция начинается с тёплого ливня. Далее, после 48 секунды, подключается тёплый водопад и работает синхронно с хлопками в аудиодорожке. Освещение красно-жёлто-фиолетовое. Тёплая вода отключается, включаются холодные боковые и работают до конца станции. На 1.07 к ним подключается тёплый водопад. Освещение сине-жёлтое. Четвёртая станция пульсирует тёплыми боковыми синхронно с красным светом, далее подключается лёгкий холодный дождь с 1.26 до 1.36, после чего работает как пульсация до завершения станции, а боковые льют равномерно с 1.36 также до конца. Освещение жёлто-зелёное. Пятая станция - туман с ароматом «Ледяное море». Освещение сине-бело-голубое.
"
Танец гроз,Восстанавливающие программы,72%,3 минуты,"
	 Напряжённая атмосфера предстоящей грозы будет сопровождать вас всю программу. Шум дождя, грома и световые эффекты молнии погрузят в реалистичность происходящего. Активная пульсация воды в ритм музыке, смена температур и мятный аромат, зарядят тело экстремальной бодростью и наполнят силами на целый день.
","
	 Плавное включение фиолетового, затем 0.08-0.22, далее 0.26-0.30 - умеренный тёплый дождь. 0.11-0.19 умеренный холодный. 0.15-0.26 тёплые боковые. Освещение плавное: красный, голубой, красный, жёлтый, красный. Плавное выключение красного. На второй станции пульсация тумана (32 включения), длиной четверть секунды, согласно музыке, с ароматом «Полярная ночь». Освещение мигающее белое. Возврат на первую станцию. Такая же пульсация боковых тёплых форсунок (24 включения) с мигающим красным освещением. Возврат на вторую станцию. Туман 6 секунд. Освещение синее, белое. Третья станция - теплый ливень 1.03-1.10 с мигающим белым освещением. Тёплый водопад 1.11-1.18 с мигающим красным освещением. 1.18-1.25 шестнадцать равномерных включений длиной по четверть секунды холодных боковых форсунок с мигающим синим освещением. 1.25-1.33 сплошной ливень и водопад с мигающим жёлтым освещением. Плавное выключение жёлтого. Четвёртая станция - 1.33-2.06 лёгкий холодный дождь. 1.36-2.05 тёплые боковые. 2.06-2.08 четыре включения боковых длиной по четверть секунды. Освещение - эффект молнии (стробоскоп). Пятая станция - туман с ароматом «Полярная ночь». Освещение - синее ровное, затем стробоскоп.
"
Enjoy the Silence,Восстанавливающие программы,88%,3 минуты,"
	 Полетай в облаках. Гармоничное сочетание музыки и света погрузят в атмосферу лёгкости и полёта. Верхний душ расслабит и согреет, а массажные форсунки с освежающим туманом придадут жизненного тонуса. Насладись водной стихией прямо сейчас.
","
	 Вода везде тёплая. Сначала до 0.27 музыка и свет. Плавное выключение: кр, кр, сн, фл, фл, сн, зл, кр. С 0.28 по 0.30 мигание белым + два включения боковых форсунок одновременно. С 0.30 по 0.33,5 работают все боковые форсунки+туман, освещение - сине-красное. С 0.33 по 0.54,5 верхняя лейка, освещение до 0.43 сине-красное, с 0.43 по 0.54 жёлто-фиолетовое. 0.54,5-0.55,5 мигание белым светом. С 0.54,5 по 0.55,5 два открытия боковых форсунок. На второе открытие добавляется туман до 0.56,5. С 0.55,5 до 1.47 включается верхняя лейка, освещение сине-красное до 1.08,5, далее жёлто-фиолетовое до 1.21,5, далее зелёно-жёлтое до 1.34,5, далее сине-красное до 1.47,5. С 1.21 по 1.34,5 добавляется водопад. С 1.47 конфигурация: два включения боковых, затем туман (повторяется 4 раза). 1-й раз - верхние, затем на 1.48 туман, 2-й раз - средние, затем на 1.52 туман, 3-й раз - нижние, затем на 1.55 туман, 4-й раз - все боковые, затем на 1.58 туман до 2.01. Освещение этой конфигурации плавно гаснущие: красный, затем опять красный, затем синий, затем фиолетовый. С 2.01 по 2.26 работает верхняя лейка, освещение сине-красное. С 2.26 до конца освещение красно-жёлто-синее под фоновую музыку.
"
Сказки на ночь,Восстанавливающие программы,73%,4 минуты,"
	Эта программа убаюкает вас после тяжелого дня, окутает спокойными расслабляющими звуками, согреет нежными струями-объятиями. Идеальное завершение вечера.
","
	После включения программы, включается мягкий синий свет, символизируя наступающую ночь. Сверху льется вода, которая смывает все тревоги и усталость, накопившуюся за день. Сверху льется вода, мягко массируя плечи, шею и голову. Через некоторое время верхний душ выключается, вместо них боковые струи горячей водой массируют тело. Опять включается верхняя лейка, которая окутывает в свои горячие объятия. Звучит приятная умиротворяющая музыка. Освещение то мягкое синее, как ночное небо, то белое, как звезды. В конце программы вода льется из верхней лейки, после чего свет, вода и звуки затихают.
"
Просто теплый душ,Программы для SPA,88%,5 минут,"
	 Классика. Если вы хотите просто принять тёплый душ - эта программа для вас. Вы сможете отдохнуть от лишних звуков и световых эффектов. Просто расслабьтесь и грейтесь под тёплым потоком воды.
","
	 Программа без музыкального сопровождения. Всё время работает классический тёплый душ. Подсветка белая. Длительность программы 5 минут.
"
В преддверии Нового года!,Программы для SPA,88%,1 минута,"
	 Только представьте, вы идете с работы по тихой улочке зимним вечером в преддверии Нового года. Проходя мимо своих соседей, слышите поздравления с наступающим праздником. Вы проходите еще немного и видите свой уютно украшенный дом. Эта программа перенесет вас в детство, в те беззаботные времена…
","
	 Холодная вода из форсунок в начале программы представляется как прогулка с друзьями. Вот руки уже заледенели, но ты все не идешь домой, так как хочешь вдоволь нагуляться со своими товарищами перед их отъездом к родственникам на зимние каникулы. Включается ароматизатор и…это же запах елки, которая стоит у вас дома. Мама готовит особые блюда к приближающемуся празднику, папа приходит с работы и начинает ей помогать. Тут они замечают тебя и твой красный нос, в результате чего ты оказываешься уже закутанным во все одеяла дома. Начинает литься приятная-теплая вода, которая оповещает тебя о посиделках на кухне с родителями и кружкой горячего какао, которое только-только сварилось. И вот ты сидишь и гадаешь что же тебе подарят? Твои воспоминания прерывает моросистый дождик из верхней форсунки. Ты выходишь расслабленным из душа и находишься в настолько беззаботном состоянии, что тебя будто вновь волнуют только подарки, стоящие под елкой.
"
Перламутровый рассвет,Программы для SPA,87%,2 минуты,"
	Трепетный водный массаж для снижения стресса и улучшения настроения. Лёгкая воздушная музыка подарит вам отдых и чувство бодрости на весь день.
","
	Включается жёлтая подсветка, звучит приятная приглушённая музыка. Горячий поток дождя на мгновения сменяется прохладой тумана и вновь возвращается, согревая. С новым вступлением в композицию вплетаются водопады. Верхняя лейка наполняет помещение теплом, свет плавно затухает, но затем переливается новыми оттенками, возвращаются водопады. Они вторят мотиву, то мягко вступая вместе с ним, то уступая бризу тумана. Дождь вновь освежает тело, водопады сливаются в новых контрастных потоках. Программа заканчивается, свет гаснет.
"
Прогулка по долине,Программы для SPA,85%,3 минуты,"
	 Хотите прогуляться по зарубежью 70-х? Чеканный бит музыки задаст вам темп от которого не стоит отставать. Если примете чуть в сторону к горам, то поднимайтесь по ним также уверенно как по равнине и вы обязательно окажетесь на высоте.
","
	 В синей подсветке вступает музыкальный трек вместе с освежающим туманом. Далее из лейки включается тёплый водопад, подсветка переливается с синего на фиолетовый, позже к водопаду подключается ещё одна тёплая струя сверху, сопровождающаяся красным светом. Зелёно-красная иллюминация будет подсвечивать пространство в то время как сверху на вас льёт лейка с тёплой водой. Ароматизированный туман сменит комфортное тепло на прохладный водопад. Далее тёплый душ и тёплый водопад в тандеме с красным светом. В завершении - приятный аромат и бодрящий туман в позитивном жёлтом освещении.
"
Цветочный каприз,Программы для SPA,82%,2 минуты,"
	Медитативная, нежная музыка, приглушённый свет и тёплые объятья воды - что может быть лучше? Лёгкий аромат бутонов роз идеально дополнит атмосферу и позволит насладиться послевкусием умиротворения.
","
	Вместе с медитативной музыкой вступают горячие потоки дождя. Туман мягко освежает прохладными каплями в приглушённом персиковом свете. Оттенки переливаются, колеблются вместе с волнами звука. Верхнюю лейку сменяют два горячих водопада и лёгкий холодный бриз. Изящное соло фортепиано сменяет динамичное начало и погружает в атмосферу полного расслабления, сливается с мягким замирающим светом и потоками дождя в туманном облаке прохлады. Музыка подражает падающим каплям воды, и водопады укутывают ароматными потоками. Дождь вновь согревает своим теплом, и программа заканчивается, свет гаснет.
"
Горные пики,Программы для SPA,81%,2 минуты,"
	 Позвольте воде бережно очистить ваши душу и тело, а мягкому вокалу наполнить вас счастьем, спокойствием и уверенностью в безграничности ваших возможностей.
","
	 Звучит расслабляющая музыка, поток воды с верхней лейки смешивается с водопадами, вступающими по очереди в переливах света в насыщенной лиловой палитре. Дождь сменяется прохладным облаком тумана. Свет мягко мерцает, подчёркивая партию ударных. Горячий дождь сплетается с холодным потоком водопада. Вновь возвращается воздушный мотив вокала, и прохладный туман занимает место дождя, водопады окутывают горячей водой. Последний мотив постепенно замирает, замолкают переливы водопадов, исчезает туман и с последним звуком стихает дождь, свет гаснет.
"
Туманные грёзы,Программы для SPA,79%,2 минуты,"
	Расслабляющий и чувственный танец воды для отдыха души и тела. Водные процедуры подарят вам состояние лёгкости, а изящные мотивы гитары окунут в мечтательное настроение.
","
	Включается синяя подсветка, звучит расслабляющая музыка, из верхней лейки льётся поток горячей воды. Цвет переливается в оттенках, подражая динамическим волнам звука. На новой волне два водопада вплетают горячую и холодную воду, окутывают ароматом. Просветление в музыке погружает помещение в приятные оранжевые тона и туманное облако прохлады. Вступает мотив гитары, и горячий водопад вновь низвергает свой поток. Свет вторит инструменту, мягко мерцает жёлтым. Партия затихает, помещение возвращается в переливы спокойного голубого цвета, дождь погружает в тёплые объятья воды. Вступает гитара, появляется туман и горячий поток водопада. Свет подыгрывает мягким голубым переливом на паузах соло инструмента. Окончание музыкальной фразы звучит в дымке тумана и оранжевых тонах. Льётся поток горячей воды водопадов. Свет вступает вместе с музыкой и постепенно затухает, сменяя оттенки. Программа заканчивается бризом тумана, свет гаснет.
"
Фруктовая элегия,Программы для SPA,79%,2 минуты,"
	Почувствуйте единение яркого ритма и мелодии, чтобы погрузиться в атмосферу влажных тропиков и мир наслаждения. Программа позволит вам расслабиться, а приятная музыка зарядит хорошим настроением.
","
	Звучит умиротворяющая музыка, два водопада окутывают горячей водой. Свет мерцает, и вместе с новым музыкальным мотивом верхняя лейка вплетает свой поток, а лёгкий бриз тумана освежает тело. В лазурных переливах света и дымке водных капель, водопады сменяют друг друга, окружая лёгким ароматом. Горячие и прохладные потоки воды гармонично чередуются, поддерживая комфортную температуру. Затем вновь сменяется настроение, и музыка возвращает переливы синих тонов. Льётся горячий поток тропического дождя, оттеняя прохладу тумана. Финальный аккорд завершает программу контрастными потоками водопадов, музыка затихает и свет гаснет.
"
Туманное утро,Программы для SPA,76%,5 минут,"
	Всю программу вас будет обволакивать нежный туман, навевая утреннюю прохладу. Вместе с тем, приятный аромат, погрузит вас в безмятежность. На протяжении трека вы почувствуете два включения тёплого расслабляющего душа. Таинственная фиолетовая подсветка сменится на солнечную жёлтую и успокаивающую зелёную. Программа расслабит и приведёт в порядок ваши мысли.
","
	Сначала туман и фиолетовая подсветка. Туман работает всю программу. Далее включается тёплый душ и работает до 1мин 50сек. На 0мин 40сек подача аромата. Смена подсветки на жёлтый, затем зелёный. Второе включение душа через небольшой перерыв, после чего, он работает практически до конца. Вторая подача аромата на 2мин 10сек
"
Массаж водными струями,Программы для SPA,72%,2 минуты,Зарядись свежей энергией! Каждая клеточка твоего тела почувствует прилив бодрости и сил. Точечный экспресс-массаж разбудит твою кровь и заставит кожу приятно «погудеть».,"Сначала включаются верхние форсунки, затем середина, а потом ноги. После этого, через среднюю форсунку, по пути переключаясь на холодный термостат, вода возвращается к верхним форсункам. Низ, верх, низ, верх. Смена воды на тёплую. Далее порядок работы форсунок повторяется как в начале. Впереди ещё две смены холодной воды поочерёдно с тёплой, затем форсунки дают более короткую подачу воды и меняют тактику на «сверху вниз»."
Город,Программы для SPA,86%,3 минуты,"Кафе, джаз… Разве не романтично? Почувствуйте себя в атмосфере живой музыки и ароматного кофе. Приятный тёплый душ с изысканным ароматом позволит вам немного помечтать и получить по-настоящему эстетическое удовольствие.","Ненавязчивая джазовая музыка в сопровождении мультицветного освещения играет с водой сначала и до конца. В начале включится тёплый водопад, после чего его сменит лёгкий душ. После смены вы почувствуете приятный аромат одновременно с прохладным туманом. Смена водопадов повторится дважды, также как и нежный туманный бриз."
Тропический шторм,Программы для SPA,77%,3 минуты,"
	 Тёплая, расслабляющая программа. Преимущественно вы будете чувствовать тёплый тропический душ и водопад, которые сопровождаются ароматом. Во второй половине вы почувствуете кратковременный холодный туман, который вновь сменится тёплыми струями воды. В качестве аудиосопровождения-пение птиц. Подсветка мягкая. Длительность - 2 мин. 30 сек.
","
	 Первые 15 секунд - тропический дождь с красной подсветкой. Далее подключаются большой водопад и аромат, подсветка меняется на жёлтую. На 1.30 включается туман и работает 6 секунд. Подсветка переливается с красного цвета на зелёный. На 1.36 снова тропический дождь с ароматом и большой водопад.
"
Дикое побережье,Программы для SPA,77%,3 минуты,"
	 Представьте, что вы идёте на яхте, а на расстоянии 30 метров от вас, побережье, где обитают слоны, попугаи и другие экзотические животные. Такой красочный, сочный пейзаж дополняется освещением натуральных тонов, звуками природы, банджо, умеренным прохладным и тёплым дождём с массажными боковыми струями, а затем свежим бризом с тропическим ароматом. Их сменяют тёплые ливень и водопад, перемешиваясь с холодными брызгами океана. Погода стремительно меняется и надо поспешить добраться до марины.
","
	 На первой станции умеренный прохладный дождь, к которому на 9-й секунде подключается тёплый и работает до 0.30. Холодный заканчивается на 0.15, после чего включаются тёплые боковые форсунки и делают четыре коротких равномерных включения. Освещение плавное жёлто-зелёное, которое в конце работы станции выключается фейдером. Вторая станция освещается плавным голубо-синим тоном, после чего включается туман с ароматом «Тропика» и работает с 0.30 до 1.00 На третьей станции тёплые ливень и водопад включаются одновременно, после чего водопад отключается на 1.08, а ливень на 1.18. Холодные боковые форсунки подхватывают на 1.16, далее на 1.22 вновь ливень и водопад. Все три лейки отключаются одновременно на 1.34. Световое сопровождение плавное жёлто-зелёное. На четвёртой станции перекличка холодного лёгкого дождя и тёплых боковых форсунок продолжительностью порядка по 3,5 секунды, после чего, на 3-м включении, боковые продолжают работать, а лёгкий дождь подключается через 3,5 секунды и они работают вместе до конца станции. Освещение фиолетово-жёлтое. Пятая станция заполняется туманом с ароматом «Тропика». Освещение плавное голубо-синее с фейдером в конце.
"
Ниагарский водопад,Программы для SPA,76%,3 минуты,"Вы почувствуете массаж боковыми форсунками снизу вверх под звук водопада и пение птиц. Затем, для снятия напряжения в ногах, их окатит холодная вода. Далее массажные форсунки будут включаться в противоположном порядке, а к ним присоединится тропический дождь, гром и молния. Вскоре дождь усилится большим водопадом и две лейки будут работать одновременно со всеми боковыми форсунками. Программа завершается расслабляющим прохладным туманом с сине-зелёным, а затем белым освещением. Длительность 2 мин., 30 сек.","Звуковое сопровождение - шум водопада, пение птиц, гром. Сначала нижние форсунки, затем средние, нижние отключаются, а к средним присоединяются верхние. Такой цикл работает до 0.30 секунд. С 0.30 до 0.40 холодная вода для нижних форсунок. С 0.40 начинается тропический дождь, гром и молния. Боковые форсунки поочерёдно - верх, середина, низ, затем к нижним присоединяются верхние, а к ним средние, таким образом, все три уровня форсунок работают совместно до конца. На 1.10 подключается большой водопад. На 2.00 тропический дождь и водопад отключаются вместе с громом и молнией. Включается туман и работает до конца под сине-зелёное освещение. Завершается программа белым светом с туманом."
Водопад,Программы для SPA,73%,3 минуты,"Конечно, вы сначала расслабитесь под тёплым дождём и будете думать, что Питер к вам благосклонен. Но не стоит делать преждевременных выводов. Неожиданно, с берегов Ладоги повеет прохладным туманом, а гром принесёт с собой бодрящую грозу. Конечно, вы вдохнёте запах Северной столицы и будете судорожно бегать в поисках чашки согревающего напитка и батареи. Немного неопределённости в погоду добавят тёплый дождь и струя малого водопада, как бы соревнуясь между собой. Пурпурный закат в конце прогулки сопроводится тёплым дождём, но также, невским ароматным бризом, который смоет с вас остатки печали и украдёт частичку вашего сердца на 2 минуты 30 секунд.",Если понравившаяся вам душевая программа несовместима с вашим оборудованием - вы можете самостоятельно ее адаптировать благодаря удобному конструктору программ.
Лето в Питере,Программы для SPA,72%,3 минуты,"Конечно, вы сначала расслабитесь под тёплым дождём и будете думать, что Питер к вам благосклонен. Но не стоит делать преждевременных выводов. Неожиданно, с берегов Ладоги повеет прохладным туманом, а гром принесёт с собой бодрящую грозу. Конечно, вы вдохнёте запах Северной столицы и будете судорожно бегать в поисках чашки согревающего напитка и батареи. Немного неопределённости в погоду добавят тёплый дождь и струя малого водопада, как бы соревнуясь между собой. Пурпурный закат в конце прогулки сопроводится тёплым дождём, но также, невским ароматным бризом, который смоет с вас остатки печали и украдёт частичку вашего сердца на 2 минуты 30 секунд.","Сначала тёплый дождь, затем к нему присоединится большой водопад. Эта лейка будет работать до 0.40 секунд под зелёную подсветку. Боковые форсунки работают и преграждают путь к следующей зоне. На 0.40 начинается гроза, туман и холодный дождь. Форсунка тумана сопровождается ароматом «Полярная ночь». Боковые форсунки работают спереди и сзади, ограничивая пространство. На 1.10 начинается тёплый дождь и работает попеременно с малым водопадом. Подсветка меняется синхронно с водой. Боковые форсунки работают спереди и сзади, ограничивая пространство. На 1.40 начинается тёплый дождь, затем сменяется туманом и им же завершается. В это время аромат «Полярная ночь» и фиолетовая подсветка."
